,date,open,high,low,close,cje,volume,change,code,position,short_window,long_window,s-l,a50
299,2016/2/25,0.427,0.428,0.393,0.397,132.31,323037800,0.017,strategy3data,1,0.4167,0.411066667,0.005633333,8712.5
300,2016/2/26,0.399,0.404,0.392,0.396,76.65,192771000,0.0034,strategy3data,1,0.4154,0.407333333,0.008066667,8822.5
301,2016/2/29,0.397,0.398,0.376,0.378,104.64,272575800,-0.0211,strategy3data,1,0.413,0.4047,0.0083,8650
302,2016/3/1,0.38,0.391,0.376,0.388,79.17,206453200,-0.0139,strategy3data,1,0.4101,0.403633333,0.006466667,8810
303,2016/3/2,0.389,0.416,0.384,0.412,136.8,343816900,0.0122,strategy3data,1,0.4096,0.404266667,0.005333333,9090
304,2016/3/3,0.41,0.416,0.407,0.408,108.3,263502000,-0.0001,strategy3data,1,0.409,0.4039,0.0051,9125
305,2016/3/4,0.405,0.409,0.392,0.393,109.14,272981800,-0.0608,strategy3data,1,0.4065,0.403766667,0.002733333,9380
306,2016/3/7,0.398,0.404,0.397,0.399,103.87,259289900,-0.0413,strategy3data,1,0.4029,0.4035,-0.0006,9330
307,2016/3/8,0.4,0.4,0.385,0.398,95.84,244877100,-0.0376,strategy3data,1,0.3998,0.402566667,-0.002766667,9270
308,2016/3/9,0.392,0.395,0.389,0.39,53.08,135712300,-0.0525,strategy3data,1,0.3959,0.401766667,-0.005866667,9227.5
309,2016/3/10,0.39,0.394,0.386,0.386,62.98,161613700,-0.0464,strategy3data,1,0.3948,0.4015,-0.0067,9075
310,2016/3/11,0.385,0.388,0.382,0.385,49.02,127321900,-0.0601,strategy3data,1,0.3937,0.400766667,-0.007066667,9182.5
311,2016/3/14,0.391,0.406,0.39,0.4,104.13,261180700,-0.0314,strategy3data,1,0.3959,0.4005,-0.0046,9255
312,2016/3/15,0.398,0.399,0.391,0.394,83.01,210151700,-0.0441,strategy3data,1,0.3965,0.401133333,-0.004633333,9240
313,2016/3/16,0.396,0.398,0.389,0.39,71.94,182975200,-0.0695,strategy3data,1,0.3943,0.401366667,-0.007066667,9392.5
314,2016/3/17,0.392,0.406,0.392,0.404,114.71,287135800,-0.0456,strategy3data,1,0.3939,0.402533333,-0.008633333,9490
315,2016/3/18,0.404,0.426,0.402,0.42,146.02,352034400,-0.0176,strategy3data,1,0.3966,0.4036,-0.007,9575
316,2016/3/21,0.428,0.449,0.425,0.449,196.45,452270400,0.023,strategy3data,1,0.4016,0.405766667,-0.004166667,9787.5
317,2016/3/22,0.44,0.448,0.435,0.435,144.86,328309300,0.0075,strategy3data,1,0.4053,0.407033333,-0.001733333,9647.5
